country,date,total
Turkey,2020-02-18,0
Turkey,2021-02-18,27821
Turkey,2020-02-19,0
Turkey,2021-02-19,27903
Turkey,2020-02-02,0
Turkey,2021-02-02,26237
Turkey,2020-02-20,0
Turkey,2021-02-20,27983
Turkey,2020-02-21,0
Turkey,2021-02-21,28060
Turkey,2020-02-22,0
Turkey,2021-02-22,28138
Turkey,2020-02-23,0
Turkey,2021-02-23,28213
Turkey,2020-02-24,0
Turkey,2021-02-24,28285
Turkey,2020-02-25,0
Turkey,2021-02-25,28358
Turkey,2020-02-26,0
Turkey,2021-02-26,28432
Turkey,2020-02-27,0
Turkey,2021-02-27,28503
Turkey,2020-02-28,0
Turkey,2021-02-28,28569
Turkey,2020-02-29,0
Turkey,2020-02-03,0
Turkey,2021-02-03,26354
Turkey,2020-02-04,0
Turkey,2021-02-04,26467
Turkey,2020-02-05,0
Turkey,2021-02-05,26577
Turkey,2020-02-06,0
Turkey,2021-02-06,26685
Turkey,2020-02-07,0
Turkey,2021-02-07,26797
Turkey,2020-02-08,0
Turkey,2021-02-08,26900
Turkey,2020-02-09,0
Turkey,2021-02-09,26998
Turkey,2020-03-01,0
Turkey,2021-03-01,28638
Turkey,2020-03-10,0
Turkey,2021-03-10,29227
Turkey,2020-03-11,0
Turkey,2021-03-11,29290
Turkey,2020-03-12,0
Turkey,2020-03-13,0
Turkey,2020-03-14,0
Turkey,2020-03-15,0
Turkey,2020-03-16,0
Turkey,2020-03-17,1
Turkey,2020-03-18,1
Turkey,2020-03-19,3
Turkey,2020-03-02,0
Turkey,2021-03-02,28706
Turkey,2020-03-20,4
Turkey,2020-03-21,9
Turkey,2020-03-22,30
Turkey,2020-03-23,37
Turkey,2020-03-24,44
Turkey,2020-03-25,59
Turkey,2020-03-26,75
Turkey,2020-03-27,92
Turkey,2020-03-28,108
Turkey,2020-03-29,131
Turkey,2020-03-03,0
Turkey,2021-03-03,28771
Turkey,2020-03-30,168
Turkey,2020-03-31,214
Turkey,2020-03-04,0
Turkey,2021-03-04,28839
Turkey,2020-03-05,0
Turkey,2021-03-05,28901
Turkey,2020-03-06,0
Turkey,2021-03-06,28965
Turkey,2020-03-07,0
Turkey,2021-03-07,29030
Turkey,2020-03-08,0
Turkey,2021-03-08,29094
Turkey,2020-03-09,0
Turkey,2021-03-09,29160
Turkey,2020-04-01,277
Turkey,2020-04-10,1006
Turkey,2020-04-11,1101
Turkey,2020-04-12,1198
Turkey,2020-04-13,1296
Turkey,2020-04-14,1403
Turkey,2020-04-15,1518
Turkey,2020-04-16,1643
Turkey,2020-04-17,1769
Turkey,2020-04-18,1890
Turkey,2020-04-19,2017
Turkey,2020-04-02,356
Turkey,2020-04-20,2140
Turkey,2020-04-21,2259
Turkey,2020-04-22,2376
Turkey,2020-04-23,2491
Turkey,2020-04-24,2600
Turkey,2020-04-25,2706
Turkey,2020-04-26,2805
Turkey,2020-04-27,2900
Turkey,2020-04-28,2992
Turkey,2020-04-29,3081
Turkey,2020-04-03,425
Turkey,2020-04-30,3174
Turkey,2020-04-04,501
Turkey,2020-04-05,574
Turkey,2020-04-06,649
Turkey,2020-04-07,725
Turkey,2020-04-08,812
Turkey,2020-04-09,908
Turkey,2020-05-01,3258
Turkey,2020-05-10,3786
Turkey,2020-05-11,3841
Turkey,2020-05-12,3894
Turkey,2020-05-13,3952
Turkey,2020-05-14,4007
Turkey,2020-05-15,4055
Turkey,2020-05-16,4096
Turkey,2020-05-17,4140
Turkey,2020-05-18,4171
Turkey,2020-05-19,4199
Turkey,2020-05-02,3336
Turkey,2020-05-20,4222
Turkey,2020-05-21,4249
Turkey,2020-05-22,4276
Turkey,2020-05-23,4308
Turkey,2020-05-24,4340
Turkey,2020-05-25,4369
Turkey,2020-05-26,4397
Turkey,2020-05-27,4431
Turkey,2020-05-28,4461
Turkey,2020-05-29,4489
Turkey,2020-05-03,3397
Turkey,2020-05-30,4515
Turkey,2020-05-31,4540
Turkey,2020-05-04,3461
Turkey,2020-05-05,3520
Turkey,2020-05-06,3584
Turkey,2020-05-07,3641
Turkey,2020-05-08,3689
Turkey,2020-05-09,3739
Turkey,2020-06-01,4563
Turkey,2020-06-10,4746
Turkey,2020-06-11,4763
Turkey,2020-06-12,4778
Turkey,2020-06-13,4792
Turkey,2020-06-14,4807
Turkey,2020-06-15,4825
Turkey,2020-06-16,4842
Turkey,2020-06-17,4861
Turkey,2020-06-18,4882
Turkey,2020-06-19,4905
Turkey,2020-06-02,4585
Turkey,2020-06-20,4927
Turkey,2020-06-21,4950
Turkey,2020-06-22,4974
Turkey,2020-06-23,5001
Turkey,2020-06-24,5025
Turkey,2020-06-25,5046
Turkey,2020-06-26,5065
Turkey,2020-06-27,5082
Turkey,2020-06-28,5097
Turkey,2020-06-29,5115
Turkey,2020-06-03,4609
Turkey,2020-06-30,5131
Turkey,2020-06-04,4630
Turkey,2020-06-05,4648
Turkey,2020-06-06,4669
Turkey,2020-06-07,4692
Turkey,2020-06-08,4711
Turkey,2020-06-09,4729
Turkey,2020-07-01,5150
Turkey,2020-07-10,5323
Turkey,2020-07-11,5344
Turkey,2020-07-12,5363
Turkey,2020-07-13,5382
Turkey,2020-07-14,5402
Turkey,2020-07-15,5419
Turkey,2020-07-16,5440
Turkey,2020-07-17,5458
Turkey,2020-07-18,5475
Turkey,2020-07-19,5491
Turkey,2020-07-02,5167
Turkey,2020-07-20,5508
Turkey,2020-07-21,5526
Turkey,2020-07-22,5545
Turkey,2020-07-23,5563
Turkey,2020-07-24,5580
Turkey,2020-07-25,5596
Turkey,2020-07-26,5613
Turkey,2020-07-27,5630
Turkey,2020-07-28,5645
Turkey,2020-07-29,5659
Turkey,2020-07-03,5186
Turkey,2020-07-30,5674
Turkey,2020-07-31,5691
Turkey,2020-07-04,5206
Turkey,2020-07-05,5225
Turkey,2020-07-06,5241
Turkey,2020-07-07,5260
Turkey,2020-07-08,5282
Turkey,2020-07-09,5300
Turkey,2020-08-01,5710
Turkey,2020-08-10,5858
Turkey,2020-08-11,5873
Turkey,2020-08-12,5891
Turkey,2020-08-13,5912
Turkey,2020-08-14,5934
Turkey,2020-08-15,5955
Turkey,2020-08-16,5974
Turkey,2020-08-17,5996
Turkey,2020-08-18,6016
Turkey,2020-08-19,6039
Turkey,2020-08-02,5728
Turkey,2020-08-20,6058
Turkey,2020-08-21,6080
Turkey,2020-08-22,6102
Turkey,2020-08-23,6121
Turkey,2020-08-24,6139
Turkey,2020-08-25,6163
Turkey,2020-08-26,6183
Turkey,2020-08-27,6209
Turkey,2020-08-28,6245
Turkey,2020-08-29,6284
Turkey,2020-08-03,5747
Turkey,2020-08-30,6326
Turkey,2020-08-31,6370
Turkey,2020-08-04,5765
Turkey,2020-08-05,5784
Turkey,2020-08-06,5798
Turkey,2020-08-07,5813
Turkey,2020-08-08,5829
Turkey,2020-08-09,5844
Turkey,2020-09-01,6417
Turkey,2020-09-10,6895
Turkey,2020-09-11,6951
Turkey,2020-09-12,6999
Turkey,2020-09-13,7056
Turkey,2020-09-14,7119
Turkey,2020-09-15,7186
Turkey,2020-09-16,7249
Turkey,2020-09-17,7315
Turkey,2020-09-18,7377
Turkey,2020-09-19,7445
Turkey,2020-09-02,6462
Turkey,2020-09-20,7506
Turkey,2020-09-21,7574
Turkey,2020-09-22,7639
Turkey,2020-09-23,7711
Turkey,2020-09-24,7785
Turkey,2020-09-25,7858
Turkey,2020-09-26,7929
Turkey,2020-09-27,7997
Turkey,2020-09-28,8062
Turkey,2020-09-29,8130
Turkey,2020-09-03,6511
Turkey,2020-09-30,8195
Turkey,2020-09-04,6564
Turkey,2020-09-05,6620
Turkey,2020-09-06,6673
Turkey,2020-09-07,6730
Turkey,2020-09-08,6782
Turkey,2020-09-09,6837
